style,ibu_value
India Pale Ale (IPA),55
Imperial Stout,70
Pale Lager,14
American Pale Ale,40
Imperial IPA,85
Belgian Strong Ale,35
Saison,30
Porter,29
Belgian Ale,35
Golden Ale/Blond Ale,22.5
Spice/Herb/Vegetable,Varies
Sour/Wild Ale,Varies
Pilsener,35
Stout,45
Bitter,30
Barley Wine,75
Amber Ale,30
Fruit Beer,Varies
German Hefeweizen,11.5
Brown Ale,30
Premium Bitter/ESB,30
Abbey Tripel,30
Witbier,15
American Strong Ale,75
Sweet Stout,30
Amber Lager/Vienna,22.5
Black IPA,55
Wheat Ale,22.5
Dunkel/Tmavý,21
English Strong Ale,35
Abbey Dubbel,30
Dortmunder/Helles,25
Smoked,30
Oktoberfest/Märzen,25
Premium Lager,20
Doppelbock,30
Abt/Quadrupel,30
Sour Red/Brown,Varies
Czech Pilsner (Světlý),37.5
Session IPA,55
Lambic Style - Fruit,5
Scotch Ale,22.5
Imperial Porter,60
Specialty Grain,Varies
Berliner Weisse,5.5
Zwickel/Keller/Landbier,25
Baltic Porter,30
Schwarzbier,30
Dry Stout,40
Heller Bock,27.5
English Pale Ale,30
Imperial Pils/Strong Pale Lager,55
Dunkler Bock,25
Old Ale,45
Low Alcohol,Varies
Traditional Ale,30
Lambic Style - Gueuze,Varies
Kölsch,25
Grodziskie/Gose/Lichtenhainer,10
Dunkelweizen,14
Foreign Stout,45
Weizen Bock,22.5
Bière de Garde,30
Mild Ale,17.5
Irish Ale,30
Altbier,30
Radler/Shandy,Varies
Malt Liquor,Varies
India Style Lager,22.5
Cream Ale,15
Scottish Ale,22.5
California Common,40
Cider,Varies
