style,srm_value
India Pale Ale (IPA),10
Imperial Stout,35
Pale Lager,4
American Pale Ale,9.5
Imperial IPA,11.5
Belgian Strong Ale,14
Saison,9.5
Porter,30
Belgian Ale,11
Golden Ale/Blond Ale,5
Spice/Herb/Vegetable,Varies
Sour/Wild Ale,Varies
Pilsener,4
Stout,30
Bitter,9
Barley Wine,25
Amber Ale,13.5
Fruit Beer,Varies
German Hefeweizen,6.5
Brown Ale,20
Premium Bitter/ESB,11
Abbey Tripel,6.5
Witbier,3
American Strong Ale,20
Sweet Stout,30
Amber Lager/Vienna,13.5
Black IPA,32.5
Wheat Ale,7.5
Dunkel/Tmavý,21
English Strong Ale,15
Abbey Dubbel,15
Dortmunder/Helles,5
Smoked,17.5
Oktoberfest/Märzen,10.5
Premium Lager,4.5
Doppelbock,15.5
Abt/Quadrupel,14
Sour Red/Brown,Varies
Czech Pilsner (Světlý),4.5
Session IPA,10
Lambic Style - Fruit,Varies
Scotch Ale,16.5
Imperial Porter,32.5
Specialty Grain,Varies
Berliner Weisse,3
Zwickel/Keller/Landbier,7
Baltic Porter,28.5
Schwarzbier,23.5
Dry Stout,32.5
Heller Bock,11
English Pale Ale,11
Imperial Pils/Strong Pale Lager,9
Dunkler Bock,22
Old Ale,17
Low Alcohol,Varies
Traditional Ale,15
Lambic Style - Gueuze,Varies
Kölsch,4.5
Grodziskie/Gose/Lichtenhainer,4
Dunkelweizen,19.5
Foreign Stout,35
Weizen Bock,22.5
Bière de Garde,12.5
Mild Ale,17.5
Irish Ale,15.5
Altbier,16
Radler/Shandy,4
Malt Liquor,Varies
India Style Lager,6
Cream Ale,4
Scottish Ale,17.5
California Common,12
Cider,Varies
